"","All Devices","Desktop","Mobile"
"2023年10月31日","1792797","942847","849950"
"2023年11月1日","2283641","1096498","1187143"
"2023年11月2日","2343671","1075265","1268406"
"2023年11月3日","2198453","979037","1219416"
"2023年11月4日","1761648","759051","1002597"
"2023年11月5日","1893705","730634","1239131"
"2023年11月6日","2084631","1063659","1020972"
"2023年11月7日","2189169","1152844","1036325"
"2023年11月8日","2235797","1144118","1091679"
"2023年11月9日","2129650","1132460","1268406"
"2023年11月10日","2246184","1079236","1166948"
"2023年11月11日","1954964","719963","1235001"
"2023年11月12日","2068607","671999","1396608"
"2023年11月13日","2347389","1004221","1343168"
"2023年11月14日","2921941","1064900","1857041"
"2023年11月15日","2369544","995298","1374246"
"2023年11月16日","2496314","1104138","1392176"
"2023年11月17日","2181426","1003210","1178216"
"2023年11月18日","1943781","687615","1256166"
"2023年11月19日","1779834","668584","1111250"
"2023年11月20日","2230862","1001059","1229803"
"2023年11月21日","2220516","1189854","1030662"
"2023年11月22日","1963988","1143605","1094155"
"2023年11月23日","2534588","1023319","1511269"
"2023年11月24日","2171896","965357","1206539"
"2023年11月25日","1724394","702993","1021401"
"2023年11月26日","1893705","654574","1239131"
"2023年11月27日","2131471","1091941","1039530"
"2023年11月28日","2075418","1217715","1030662"
"2023年11月29日","2235797","1096498","1094155"
"2023年11月30日","2343671","1075265","1268406"
"2023年12月1日","1557653","482750","1074903"
"2023年12月2日","1595996","336800","1259196"
"2023年12月3日","1680596","323218","1357378"
"2023年12月4日","1414248","634674","779574"
"2023年12月5日","1974945","846774","1128171"
"2023年12月6日","2226940","835170","1391770"
"2023年12月7日","1931005","809591","1121414"
"2023年12月8日","1532288","728075","804213"
"2023年12月9日","1381326","463568","917758"
"2023年12月10日","804512","12021","792491"
